,adress,Latitude,Longitude,
,"обл. Псковская, г. Псков, ул. Гущина, д. 8",57.8309199,28.3282899,2007
,"обл. Псковская, г. Псков, ул. Гущина, д. 10",57.83148799999999,28.3321037,2007
,"обл. Псковская, г. Псков, ул. Дачная, д. 4",57.79362719999999,28.337979,1990
,"обл. Псковская, г. Псков, ул. Декабристов, д. 18",57.79526329999999,28.3629778,1962
,"обл. Псковская, г. Псков, ул. Детская, д. 1",57.81218200000001,28.3332855,1962
,"обл. Псковская, г. Псков, пер. Дружбы, д. 2/4",57.8097746,28.319821,1907
,"обл. Псковская, г. Псков, пер. Дружбы, д. 3",57.8094437,28.3190858,1953
,"обл. Псковская, г. Псков, пер. Дружбы, д. 4",57.80925180000001,28.3199174,1917
,"обл. Псковская, г. Псков, пер. Дружбы, д. 5",57.8090746,28.3191135,1954
,"обл. Псковская, г. Псков, пер. Дружбы, д. 6/13",57.80884200000001,28.319957,1917
,"обл. Псковская, г. Псков, пер. Дружбы, д. 7/15",57.8087124,28.3191455,1975
,"обл. Псковская, г. Псков, пер. Дружбы, д. 9/22",57.8083013,28.3192681,1957
,"обл. Псковская, г. Псков, ул. Западная, д. 1",57.81347139999999,28.2875466,1980
,"обл. Псковская, г. Псков, ул. Западная, д. 1А",57.8140015,28.2877894,1980
,"обл. Псковская, г. Псков, ул. Западная, д. 2",57.8137207,28.2863034,1983
,"обл. Псковская, г. Псков, ул. Западная, д. 2А",57.8141331,28.2853589,1985
,"обл. Псковская, г. Псков, ул. Западная, д. 3",57.814673,28.287287,1980
,"обл. Псковская, г. Псков, ул. Западная, д. 4",57.8148139,28.2852096,1984
,"обл. Псковская, г. Псков, ул. Западная, д. 6",57.81520889999999,28.2834474,1983
,"обл. Псковская, г. Псков, ул. Западная, д. 8",57.816053,28.2836527,1982
,"обл. Псковская, г. Псков, ул. Западная, д. 9",57.81622600000001,28.285364,1979
,"обл. Псковская, г. Псков, ул. Западная, д. 9А",57.8164742,28.2858978,1996
,"обл. Псковская, г. Псков, ул. Западная, д. 11",57.816446,28.284206,1979
,"обл. Псковская, г. Псков, ул. Западная, д. 12",57.81691,28.28013,1989
,"обл. Псковская, г. Псков, ул. Западная, д. 13",57.81765309999999,28.2819216,1985
,"обл. Псковская, г. Псков, ул. Западная, д. 14",57.81753999999999,28.2793371,1988
,"обл. Псковская, г. Псков, ул. Западная, д. 14А",57.81715759999999,28.2782889,1988
,"обл. Псковская, г. Псков, ул. Западная, д. 15",57.81823799999999,28.2814672,1985
,"обл. Псковская, г. Псков, ул. Западная, д. 16",57.81767,28.27849,1988
,"обл. Псковская, г. Псков, ул. Западная, д. 17",57.8186943,28.2823566,1985
,"обл. Псковская, г. Псков, ул. Западная, д. 18",57.817879,28.2778541,1989
,"обл. Псковская, г. Псков, ул. Западная, д. 20",57.81938709999999,28.2769316,1989
,"обл. Псковская, г. Псков, ул. Западная, д. 20А",57.8181574,28.276934,1989
,"обл. Псковская, г. Псков, ул. Западная, д. 21",57.82000859999999,28.2783913,1986
,"обл. Псковская, г. Псков, ул. Западная, д. 21а",57.8204229,28.2787795,1986
,"обл. Псковская, г. Псков, ул. Западная, д. 22",57.81899300000001,28.277196,1989
,"обл. Псковская, г. Псков, ул. Западная, д. 23",57.8197012,28.280447,1986
,"обл. Псковская, г. Псков, ул. Западная, д. 24",57.8199936,28.2762804,1999
,"обл. Псковская, г. Псков, ул. Западная, д. 25",57.8198935,28.2796304,1986
,"обл. Псковская, г. Псков, ул. Западная, д. 25а",57.8200502,28.2801659,1999
,"обл. Псковская, г. Псков, ул. Западная, д. 26",57.82016669999999,28.2757144,1999
,"обл. Псковская, г. Псков, ул. Западная, д. 27",57.8203371,28.2798196,1986
,"обл. Псковская, г. Псков, ул. Западная, д. 31",57.8208646,28.2776443,1987
,"обл. Псковская, г. Псков, ул. Звездная, д. 2",57.83814,28.346369,1976
,"обл. Псковская, г. Псков, ул. Звездная, д. 4",57.83798699999999,28.345128,1976
,"обл. Псковская, г. Псков, ул. Звездная, д. 6",57.837405,28.345413,1976
,"обл. Псковская, г. Псков, ул. Звездная, д. 7",57.837306,28.3508286,1980
,"обл. Псковская, г. Псков, ул. Звездная, д. 10",57.83878799999999,28.34431,1976
,"обл. Псковская, г. Псков, ул. Звездная, д. 11",57.838619,28.3469125,1977
,"обл. Псковская, г. Псков, ул. Звездная, д. 11А",57.8399133,28.3468958,1995
